Order_ID,Service_Type,Courier_ID,Courier_Name,Hub_Origin,Store_Latitude,Store_Longitude,Destination_Address,Destination_City,Drop_Latitude,Drop_Longitude,Courier_Live_Lat,Courier_Live_Long,Order_Date,Order_Time,Pickup_Time,Weight_Kg,Dimensions_Cm,Special_Handling,Temperature_C,Weather,Traffic,Vehicle,Delivery_Status,SLA_Deadline,Delivery_Time_Minutes,SLA_Remaining_Minutes,SLA_Status,Category
100024000010,Regular,STR-JKT-002,Agus Prayitno,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. Ir. H. Djuanda No. 120, RT 08/RW 03",Bekasi,-6.213087,107.023981,-6.196078,107.005587,2026-09-17,14:03:00,14:51:00,11.3,16x11x28,Standard,N/A,Hujan Deras,Sedang,Motorcycle,In_Transit,2026-09-20 14:51:00,4320,21,MEDIUM_RISK,Kecantikan
100024000011,Frozen,STR-JKT-009,Aris Munandar,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Raya Darmo No. 55, RT 04/RW 01",Jakarta Barat,-6.140324,106.709534,-6.177623,106.757429,2026-09-20,20:26:00,21:23:00,11.2,26x25x22,Cold_Chain_-2_to_5C,0.7,Berawan,Sedang,Van,In_Transit,2026-09-21 05:23:00,480,893,SAFE,Buah & Sayuran Segar
100024000012,Next Day,STR-JKT-006,Fajar Ramadhan,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Asia Afrika No. 80, RT 05/RW 03",Jakarta Barat,-6.258208,106.786903,-6.229289,106.779396,2026-09-19,17:10:00,17:25:00,4.7,32x19x29,Standard,N/A,Gerimis,Lancar,Van,In_Transit,2026-09-20 17:25:00,1440,175,SAFE,Mainan Anak
100024000013,Next Day,STR-DPK-001,Indra Gunawan,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Panjang No. 14, RT 05/RW 04",Jakarta Barat,-6.128062,106.718742,-6.177687,106.758444,2026-09-19,21:29:00,22:01:00,2.9,16x12x30,Standard,N/A,Berawan,Padat,Motorcycle,In_Transit,2026-09-20 22:01:00,1440,451,SAFE,Buku
100024000014,Same Day,STR-BKS-001,Aditya Putra,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Sudirman No. 45, RT 02/RW 02",Jakarta Timur,-6.175022,106.850579,-6.181068,106.861181,2026-09-20,11:32:00,12:10:00,4.1,28x14x11,Same_Day_Priority,N/A,Cerah,Padat,Motorcycle,Delivered,2026-09-20 20:10:00,480,340,SAFE,Snack & Makanan Kering
100024000015,Cargo,STR-JKT-013,Gilang Permana,HUB-JAKSEL-TEBET,-6.225588,106.855324,"Jl. Margonda Raya No. 150, RT 03/RW 04",Jakarta Selatan,-6.169739,106.814735,-6.209839,106.843827,2026-09-18,20:42:00,21:07:00,232.8,76x91x135,Heavy_Cargo,N/A,Gerimis,Lancar,Van,Assigned,2026-09-20 21:07:00,2880,397,SAFE,Furnitur
100024000016,Regular,STR-JKT-011,Doni Kurniawan,HUB-JAKSEL-TEBET,-6.225588,106.855324,"Jl. Kebon Jeruk Raya No. 88, RT 04/RW 01",Jakarta Selatan,-6.175385,106.816465,-6.189599,106.826114,2026-09-20,04:19:00,04:41:00,5.5,31x22x27,Standard,N/A,Cerah,Padat,Motorcycle,Assigned,2026-09-21 04:41:00,1440,851,SAFE,Perlengkapan Rumah
100024000017,Same Day,STR-JKT-012,Wahyu Hidayat,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Ahmad Yani No. 102, RT 07/RW 09",Surabaya,-7.200657,112.719354,-7.251178,112.746143,2026-09-20,06:22:00,06:41:00,0.5,32x16x21,Same_Day_Priority,N/A,Berawan,Lancar,Motorcycle,Incident_Reported,2026-09-20 14:41:00,480,11,HIGH_RISK,Gadget & Aksesoris
100024000018,PHARMA,STR-JKT-009,Aris Munandar,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Margonda Raya No. 150, RT 06/RW 07",Surabaya,-7.291464,112.800911,-7.283644,112.782901,2026-09-21,03:26:00,04:00:00,5.85,20x19x19,BPOM_Pharma,18.7,Cerah,Lancar,Van,In_Transit,2026-09-21 10:00:00,360,1170,SAFE,Vaksin & Biologis
100024000019,Same Day,STR-JKT-005,Eko Prasetyo,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Senopati No. 18, RT 02/RW 05",Surabaya,-7.250479,112.727304,-7.2575,112.740828,2026-09-21,04:24:00,04:41:00,4.9,22x16x14,Same_Day_Priority,N/A,Berawan,Lancar,Motorcycle,In_Transit,2026-09-21 12:41:00,480,1331,SAFE,Pakaian
100024000020,Next Day,STR-JKT-004,Hendra Wijaya,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. BSD Raya Utama Blok A2, RT 04/RW 03",Jakarta Barat,-6.195754,106.824,-6.191654,106.799138,2026-09-19,14:58:00,15:16:00,7.9,22x15x26,Standard,N/A,Gerimis,Padat,Van,In_Transit,2026-09-20 15:16:00,1440,46,SAFE,Buku
100024000021,PHARMA,STR-JKT-009,Aris Munandar,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Juanda No. 34, RT 09/RW 07",Jakarta Barat,-6.195607,106.812139,-6.190347,106.796563,2026-09-20,21:04:00,21:47:00,3.99,22x20x14,BPOM_Pharma,20.6,Cerah,Lancar,Van,In_Transit,2026-09-21 09:47:00,720,1157,SAFE,Reagen Lab
100024000022,Same Day,STR-JKT-005,Eko Prasetyo,HUB-JAKUT-SUNTER,-6.138472,106.865419,"Jl. TB Simatupang No. 30, RT 04/RW 02",Jakarta Utara,-6.161453,106.920443,-6.14531,106.876074,2026-09-20,17:37:00,18:22:00,5.9,27x28x10,Same_Day_Priority,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 02:22:00,480,712,SAFE,Gadget & Aksesoris
100024000023,Same Day,STR-DPK-001,Indra Gunawan,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. Basuki Rahmat No. 40, RT 04/RW 08",Bekasi,-6.130732,107.047691,-6.156793,107.012629,2026-09-20,06:04:00,06:58:00,4.9,27x15x24,Same_Day_Priority,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-20 14:58:00,480,28,MEDIUM_RISK,Kosmetik
100024000024,PHARMA,STR-JKT-009,Aris Munandar,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. M.H. Thamrin No. 12, RT 05/RW 07",Surabaya,-7.256397,112.685983,-7.262189,112.712241,2026-09-20,06:18:00,06:36:00,2.58,28x14x11,BPOM_Pharma,15.2,Cerah,Sedang,Van,Delivered,2026-09-21 06:36:00,1440,966,SAFE,Reagen Lab
100024000025,Same Day,STR-JKT-014,Ilham Saputra,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Sudirman No. 45, RT 03/RW 04",Jakarta Barat,-6.150139,106.791187,-6.160121,106.782541,2026-09-20,06:08:00,06:42:00,5.0,26x15x13,Same_Day_Priority,N/A,Cerah,Macet Total,Motorcycle,In_Transit,2026-09-20 14:42:00,480,12,HIGH_RISK,Kosmetik
100024000026,Regular,STR-JKT-004,Hendra Wijaya,HUB-JAKUT-SUNTER,-6.138472,106.865419,"Jl. Raya Darmo No. 55, RT 04/RW 02",Jakarta Utara,-6.12786,106.922543,-6.131443,106.887185,2026-09-19,00:25:00,01:22:00,12.0,33x11x21,Standard,N/A,Gerimis,Sedang,Van,In_Transit,2026-09-21 01:22:00,2880,652,SAFE,Olahraga
100024000027,Next Day,STR-DPK-001,Indra Gunawan,HUB-TGR-BSD,-6.302143,106.652194,"Jl. Juanda No. 34, RT 03/RW 07",Tangerang Selatan,-6.370372,106.641002,-6.336188,106.645848,2026-09-19,14:23:00,14:53:00,4.9,38x28x18,Standard,N/A,Berawan,Padat,Motorcycle,Assigned,2026-09-20 14:53:00,1440,23,MEDIUM_RISK,Elektronik Kecil
100024000028,Regular,STR-JKT-011,Doni Kurniawan,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Ahmad Yani No. 102, RT 03/RW 08",Depok,-6.4087,106.827773,-6.394266,106.827034,2026-09-17,14:12:00,14:53:00,8.5,31x16x12,Standard,N/A,Cerah,Padat,Motorcycle,In_Transit,2026-09-20 14:53:00,4320,23,MEDIUM_RISK,Elektronik
100024000029,Cargo,STR-BKS-002,Bambang Sudrajat,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Kebon Jeruk Raya No. 88, RT 05/RW 06",Depok,-6.352415,106.831429,-6.360881,106.830138,2026-09-19,08:43:00,09:12:00,124.4,94x69x84,Heavy_Cargo,N/A,Cerah,Macet Total,Cargo_Truck,In_Transit,2026-09-21 09:12:00,2880,1122,SAFE,Otomotif & Mesin
100024000030,Regular,STR-JKT-012,Wahyu Hidayat,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Panjang No. 14, RT 09/RW 05",Jakarta Barat,-6.155509,106.833064,-6.169835,106.811337,2026-09-19,20:52:00,21:42:00,0.5,32x14x18,Standard,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-20 21:42:00,1440,432,SAFE,Pakaian
100024000031,Frozen,STR-TGR-001,Rian Kusuma,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. M.H. Thamrin No. 12, RT 05/RW 08",Depok,-6.428479,106.764431,-6.392388,106.807925,2026-09-20,05:52:00,06:33:00,8.4,24x19x24,Cold_Chain_-2_to_5C,-1.1,Gerimis,Lancar,Motorcycle,In_Transit,2026-09-20 14:33:00,480,3,HIGH_RISK,Makanan Beku
100024000032,Cargo,STR-JKT-009,Aris Munandar,HUB-JAKPUS-TANAHABANG,-6.187841,106.814327,"Jl. Margonda Raya No. 150, RT 05/RW 01",Jakarta Pusat,-6.149244,106.79758,-6.158721,106.801696,2026-09-17,18:09:00,18:28:00,108.5,55x50x80,Heavy_Cargo,N/A,Gerimis,Lancar,Van,In_Transit,2026-09-20 18:28:00,4320,238,SAFE,Furnitur
100024000033,Same Day,STR-JKT-005,Eko Prasetyo,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Gatot Subroto Kav. 22, RT 04/RW 05",Surabaya,-7.269624,112.686759,-7.268197,112.731337,2026-09-21,04:01:00,04:25:00,3.3,32x17x14,Same_Day_Priority,N/A,Berawan,Padat,Motorcycle,In_Transit,2026-09-21 12:25:00,480,1315,SAFE,Snack & Makanan Kering
100024000034,Regular,STR-TGR-002,Surya Darma,HUB-JAKUT-SUNTER,-6.138472,106.865419,"Jl. Pemuda No. 71, RT 07/RW 05",Jakarta Utara,-6.125166,106.910813,-6.128261,106.901312,2026-09-20,06:58:00,07:56:00,11.1,34x18x10,Standard,N/A,Cerah,Sedang,Van,Assigned,2026-09-21 07:56:00,1440,1046,SAFE,Pakaian
100024000035,Next Day,STR-DPK-001,Indra Gunawan,HUB-JAKSEL-TEBET,-6.225588,106.855324,"Jl. Raya Pajajaran No. 9, RT 09/RW 08",Jakarta Selatan,-6.155648,106.879443,-6.204661,106.86503,2026-09-19,20:41:00,21:16:00,9.7,30x21x23,Standard,N/A,Hujan Deras,Lancar,Motorcycle,In_Transit,2026-09-20 21:16:00,1440,406,SAFE,Elektronik Kecil
100024000036,Mini Cargo,STR-JKT-001,Budi Santoso,HUB-TGR-BSD,-6.302143,106.652194,"Jl. M.H. Thamrin No. 12, RT 08/RW 02",Tangerang Selatan,-6.314513,106.65156,-6.310333,106.653368,2026-09-20,01:19:00,02:07:00,26.5,47x39x33,Bulky_UMKM,N/A,Cerah,Sedang,Motorcycle,In_Transit,2026-09-21 02:07:00,1440,697,SAFE,Paket UMKM
100024000037,Cargo,STR-JKT-010,Teguh Wibowo,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Raya Pajajaran No. 9, RT 02/RW 01",Depok,-6.336442,106.791212,-6.350821,106.810162,2026-09-20,11:07:00,11:51:00,177.2,85x66x61,Heavy_Cargo,N/A,Berawan,Sedang,Cargo_Truck,Delivered,2026-09-21 11:51:00,1440,1281,SAFE,Furnitur
100024000038,Instant,STR-JKT-003,Rizky Pratama,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Raya Pajajaran No. 9, RT 04/RW 08",Jakarta Timur,-6.194445,106.914229,-6.195692,106.901264,2026-09-21,01:37:00,02:10:00,4.3,18x23x15,Instant_Direct,N/A,Cerah,Sedang,Motorcycle,Assigned,2026-09-21 04:10:00,120,820,SAFE,Obat Darurat
100024000039,Mini Cargo,STR-JKT-009,Aris Munandar,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Ir. H. Djuanda No. 120, RT 09/RW 07",Surabaya,-7.195566,112.750739,-7.247438,112.750891,2026-09-19,01:19:00,02:04:00,23.7,37x49x33,Bulky_UMKM,N/A,Gerimis,Macet Total,Van,Assigned,2026-09-21 02:04:00,2880,694,SAFE,Paket UMKM
100024000040,Mini Cargo,STR-JKT-001,Budi Santoso,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. TB Simatupang No. 30, RT 09/RW 06",Bekasi,-6.111837,107.025146,-6.140837,107.011823,2026-09-19,05:35:00,06:06:00,28.7,43x45x24,Bulky_UMKM,N/A,Cerah,Padat,Motorcycle,In_Transit,2026-09-21 06:06:00,2880,936,SAFE,Paket UMKM
100024000041,Dokumen,STR-JKT-005,Eko Prasetyo,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Raya Pajajaran No. 9, RT 09/RW 01",Jakarta Barat,-6.140265,106.819269,-6.153221,106.805913,2026-09-18,22:23:00,23:05:00,1.15,35x25x2,Secure_Document_Pouch,N/A,Berawan,Padat,Motorcycle,Delivered,2026-09-20 23:05:00,2880,515,SAFE,Dokumen Penting
100024000042,Cargo,STR-JKT-007,Dimas Setiawan,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Pemuda No. 71, RT 06/RW 06",Jakarta Barat,-6.197397,106.797101,-6.198405,106.792968,2026-09-17,22:27:00,23:25:00,85.8,55x79x161,Heavy_Cargo,N/A,Cerah,Sedang,Cargo_Truck,In_Transit,2026-09-20 23:25:00,4320,535,SAFE,Grosir Bahan Industri
100024000043,PHARMA,STR-JKT-008,Bayu Nugroho,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Juanda No. 34, RT 05/RW 09",Jakarta Timur,-6.231712,106.903212,-6.210903,106.895406,2026-09-20,02:14:00,02:59:00,5.54,28x14x17,BPOM_Pharma,16.8,Gerimis,Macet Total,Motorcycle,In_Transit,2026-09-20 14:59:00,720,29,MEDIUM_RISK,Vaksin & Biologis
100024000044,Same Day,STR-JKT-005,Eko Prasetyo,HUB-TGR-BSD,-6.302143,106.652194,"Jl. Panjang No. 14, RT 01/RW 01",Tangerang Selatan,-6.291669,106.721171,-6.29554,106.677745,2026-09-20,23:04:00,00:02:00,4.4,26x17x16,Same_Day_Priority,N/A,Berawan,Padat,Motorcycle,Assigned,2026-09-21 08:02:00,480,1052,SAFE,Snack & Makanan Kering
100024000045,Cargo,STR-JKT-009,Aris Munandar,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Raya Darmo No. 55, RT 06/RW 03",Jakarta Timur,-6.176263,106.940382,-6.184548,106.917574,2026-09-17,13:49:00,14:36:00,76.7,84x96x174,Heavy_Cargo,N/A,Berawan,Padat,Van,Incident_Reported,2026-09-20 14:36:00,4320,6,HIGH_RISK,Otomotif & Mesin
100024000046,Mini Cargo,STR-TGR-001,Rian Kusuma,HUB-JAKUT-SUNTER,-6.138472,106.865419,"Jl. H.R. Rasuna Said No. 8, RT 08/RW 02",Jakarta Utara,-6.080505,106.927605,-6.091753,106.91908,2026-09-18,14:37:00,14:52:00,36.9,55x42x31,Bulky_UMKM,N/A,Gerimis,Sedang,Motorcycle,In_Transit,2026-09-20 14:52:00,2880,22,MEDIUM_RISK,Paket UMKM
100024000047,Regular,STR-JKT-003,Rizky Pratama,HUB-TGR-BSD,-6.302143,106.652194,"Jl. H.R. Rasuna Said No. 8, RT 04/RW 08",Tangerang Selatan,-6.277947,106.676322,-6.286678,106.668328,2026-09-19,13:57:00,14:20:00,9.6,29x19x30,Standard,N/A,Berawan,Padat,Motorcycle,In_Transit,2026-09-20 14:20:00,1440,-10,BREACHED,Kecantikan
100024000048,Regular,STR-TGR-002,Surya Darma,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Ir. H. Djuanda No. 120, RT 07/RW 03",Depok,-6.426584,106.795586,-6.401793,106.8124,2026-09-19,12:43:00,13:26:00,14.1,23x11x21,Standard,N/A,Cerah,Sedang,Van,Delivered,2026-09-21 13:26:00,2880,1376,SAFE,Elektronik
100024000049,Mini Cargo,STR-JKT-001,Budi Santoso,HUB-JAKBAR-KEBONJERUK,-6.189512,106.769941,"Jl. Panjang No. 14, RT 04/RW 02",Jakarta Barat,-6.122182,106.751368,-6.136046,106.752795,2026-09-20,05:46:00,06:36:00,6.2,40x32x24,Bulky_UMKM,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 06:36:00,1440,966,SAFE,Tekstil & Garmen
100024000050,Regular,STR-JKT-005,Eko Prasetyo,HUB-JAKPUS-TANAHABANG,-6.187841,106.814327,"Jl. TB Simatupang No. 30, RT 03/RW 09",Jakarta Pusat,-6.211843,106.764985,-6.209554,106.777972,2026-09-19,14:24:00,14:50:00,0.5,40x17x28,Standard,N/A,Cerah,Padat,Motorcycle,In_Transit,2026-09-20 14:50:00,1440,20,MEDIUM_RISK,Perlengkapan Rumah
100024000051,Regular,STR-JKT-012,Wahyu Hidayat,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. H.R. Rasuna Said No. 8, RT 08/RW 09",Bekasi,-6.176563,107.018604,-6.176782,107.000915,2026-09-18,13:48:00,14:46:00,7.0,15x11x25,Standard,N/A,Berawan,Padat,Motorcycle,In_Transit,2026-09-20 14:46:00,2880,16,MEDIUM_RISK,Kecantikan
100024000052,Dokumen,STR-BKS-001,Aditya Putra,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Raya Darmo No. 55, RT 09/RW 06",Depok,-6.432552,106.774025,-6.409829,106.79757,2026-09-19,10:29:00,11:28:00,0.7,35x25x2,Secure_Document_Pouch,N/A,Cerah,Sedang,Motorcycle,In_Transit,2026-09-21 11:28:00,2880,1258,SAFE,Dokumen Penting
100024000053,Instant,STR-JKT-011,Doni Kurniawan,HUB-BDG-BATUNUNGGAL,-6.953812,107.627419,"Jl. Juanda No. 34, RT 07/RW 07",Bandung,-6.922894,107.587522,-6.941031,107.607857,2026-09-20,23:03:00,23:45:00,4.8,25x12x7,Instant_Direct,N/A,Cerah,Sedang,Motorcycle,In_Transit,2026-09-21 01:45:00,120,675,SAFE,Makanan Siap Saji
100024000054,Dokumen,STR-TGR-001,Rian Kusuma,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. Boulevard Barat Kelapa Gading, RT 07/RW 01",Jakarta Timur,-6.186326,106.89601,-6.190954,106.888213,2026-09-19,10:37:00,11:34:00,0.4,35x25x2,Secure_Document_Pouch,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 11:34:00,2880,1264,SAFE,Dokumen Penting
100024000055,Mini Cargo,STR-JKT-006,Fajar Ramadhan,HUB-TGR-BSD,-6.302143,106.652194,"Jl. Ir. H. Djuanda No. 120, RT 09/RW 01",Tangerang Selatan,-6.253791,106.633653,-6.268634,106.641359,2026-09-19,13:17:00,13:32:00,13.7,54x34x49,Bulky_UMKM,N/A,Berawan,Lancar,Van,In_Transit,2026-09-21 13:32:00,2880,1382,SAFE,Bahan Makanan Kering UMKM
100024000056,Regular,STR-JKT-003,Rizky Pratama,HUB-BKS-HARAPANINDAH,-6.180215,106.984211,"Jl. BSD Raya Utama Blok A2, RT 07/RW 08",Bekasi,-6.240473,107.017947,-6.232695,107.012404,2026-09-18,03:22:00,03:42:00,13.3,19x15x29,Standard,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 03:42:00,4320,792,SAFE,Pakaian
100024000057,Dokumen,STR-BKS-001,Aditya Putra,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. H.R. Rasuna Said No. 8, RT 05/RW 08",Depok,-6.35785,106.8207,-6.368256,106.82817,2026-09-19,01:08:00,01:36:00,0.18,35x25x2,Secure_Document_Pouch,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-21 01:36:00,2880,666,SAFE,Dokumen Penting
100024000058,Regular,STR-JKT-014,Ilham Saputra,HUB-JAKTIM-RAWAMANGUN,-6.194218,106.883905,"Jl. TB Simatupang No. 30, RT 07/RW 09",Jakarta Timur,-6.157235,106.854428,-6.18558,106.876592,2026-09-19,07:50:00,08:09:00,1.4,38x11x23,Standard,N/A,Berawan,Sedang,Motorcycle,Assigned,2026-09-21 08:09:00,2880,1059,SAFE,Pakaian
100024000059,Next Day,STR-JKT-003,Rizky Pratama,HUB-SBY-GUBENG,-7.265412,112.752189,"Jl. Senopati No. 18, RT 08/RW 06",Surabaya,-7.278793,112.771809,-7.270701,112.761905,2026-09-19,14:08:00,14:33:00,4.3,24x20x17,Standard,N/A,Berawan,Padat,Motorcycle,In_Transit,2026-09-20 14:33:00,1440,3,HIGH_RISK,Elektronik Kecil
100024000060,Instant,STR-DPK-001,Indra Gunawan,HUB-BDG-BATUNUNGGAL,-6.953812,107.627419,"Jl. TB Simatupang No. 30, RT 04/RW 02",Bandung,-6.952419,107.684248,-6.951898,107.651755,2026-09-20,10:56:00,11:51:00,0.6,30x25x19,Instant_Direct,N/A,Cerah,Lancar,Motorcycle,In_Transit,2026-09-20 14:51:00,180,21,MEDIUM_RISK,Kebutuhan Pokok Cepat
100024000061,Next Day,STR-JKT-003,Rizky Pratama,HUB-DPK-MARGONDA,-6.372841,106.832714,"Jl. Pemuda No. 71, RT 08/RW 08",Depok,-6.380932,106.805109,-6.378273,106.82331,2026-09-19,13:18:00,14:08:00,6.3,31x22x24,Standard,N/A,Hujan Deras,Lancar,Motorcycle,Incident_Reported,2026-09-20 14:08:00,1440,-22,BREACHED,Mainan Anak
100024000062,Dokumen,STR-DPK-001,Indra Gunawan,HUB-JAKSEL-TEBET,-6.225588,106.855324,"Jl. TB Simatupang No. 30, RT 01/RW 08",Jakarta Selatan,-6.232625,106.898698,-6.230925,106.881475,2026-09-18,14:07:00,14:37:00,0.34,35x25x2,Secure_Document_Pouch,N/A,Banjir,Lancar,Motorcycle,In_Transit,2026-09-20 14:37:00,2880,7,HIGH_RISK,Dokumen Penting
100024000063,Frozen,STR-JKT-009,Aris Munandar,HUB-BDG-BATUNUNGGAL,-6.953812,107.627419,"Jl. Ahmad Yani No. 102, RT 01/RW 06",Bandung,-6.950627,107.579643,-6.953806,107.607236,2026-09-20,05:56:00,06:33:00,8.8,39x19x25,Cold_Chain_-2_to_5C,-0.9,Hujan Deras,Padat,Van,In_Transit,2026-09-20 14:33:00,480,3,HIGH_RISK,Makanan Beku
